Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,variety,winery
47,US,"Blended with 9% Malbec, 9% Cabernet Franc and 5% Petit Verdot, this is a perennial classic for the winery, the sister brand of Cuvaison. Juicy in cherry and cassis, it sustains big, pillowy tannins and tar, suggesting more time for the fruit to match up with the structure. Drink through 2020.",Estate Grown,90,60.0,California,Mount Veeder,Napa,Cabernet Sauvignon,Brandlin
54,US,"There's a lot to like in this nicely priced white, a blend of several regional vineyards. A taste of hazelnut expands on the palate to meet creamy Tahitian vanilla. Approachably round, this crowd-pleasing wine finishes in measured, integrated oak.",,90,18.0,California,Russian River Valley,Sonoma,Chardonnay,De Loach
65,US,"Fresh boysenberries and a blueberry sorbet character mix with notes of minty tarragon, dill and hot gravel on the nose of this wine, from an area between Gilroy and Morgan Hill. Peppercorns are prominent on the relatively light palate, along with tobacco, espresso and boysenberry.",Estate Select,91,36.0,California,Santa Clara Valley,Central Coast,Syrah,Jason-Stephens
67,US,"From the producer's monumental Atlas Peak vineyard, this is a tightly wound, solidly constructed mountain Cab, blended with a handful of Petit Verdot. Tobacco, black tea and a sliver of coconut intermingle around a medium-bodied whole that will benefit from cellaring, through 2021.",Animo,91,85.0,California,Napa Valley,Napa,Cabernet Sauvignon,Michael Mondavi Family Estate
69,US,"A juiciness of cherry and vanilla spark the opening of this wine, a celebration of the vintage, appellation and in this case, fruit-forwardness of the variety. With a backbone of oak and cedar, it has smooth tannins and medium weight, finishing in mocha chocolate. Drink now through 2022.",Barrel Select,91,60.0,California,Rutherford,Napa,Cabernet Sauvignon,Provenance Vineyards
70,US,"Sweetened tannins highlight a depth of chocolate and blackberry in this 100% varietal wine made in small amounts. Soft and juicy, it crafts a balance of richness and density around elegant spicy clove and cinnamon.",District Collection,91,85.0,California,St. Helena,Napa,Cabernet Sauvignon,Raymond
71,US,"This wine draws from a handful of tremendous vineyard sites, including the producer's estate, Platt and Clary Ranch, all cool-climate and windswept. It's a tight, light and minimally messed-with wine, bright in cherry, pomegranate and rose.",,91,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,Red Car
77,US,"Given four months in concrete egg, this is an exotically crisp and textured white, lean and high in acidity with plenty of mouthcoating body to find its balance. Lemon, grapefruit and tangerine are the highlights, finished in refreshing layers of white peach.",Juliana Vineyard,91,38.0,California,Napa Valley,Napa,Sauvignon Blanc,B Cellars
78,US,"This wine over-delivers in quality for the price. It's made from mostly Cabernet Sauvignon, with handfuls of Merlot, Malbec, Petit Verdot and Cabernet Franc blended in to good effect. The whole combines into layers of chocolate and graham cracker, dappled in vanilla and jam. Thick tannins suggest a swirl or two of the glass. The finish is all tobacco.",,91,28.0,California,Napa Valley,Napa,Cabernet Sauvignon,B Side
87,US,"From a multiplicity of vineyards, this wine works and is a tremendous value for the price. It mixes hot mulled-cider spices, cinnamon, clove and pine forest, conveying surprising depth. Plum, dark cherry and more clove lead to a powerful, leathery finish.",,91,22.0,California,Napa Valley,Napa,Cabernet Sauvignon,Eagle Glen
